200.66.82.11 - - [21/Mar/2017:12:49:34 -0600] "GET /Promocion/resources/cms_files/tickets/1a80cc50-29df-47bc-bd4c-2b6cafad0d84-thumbnail.png HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:12:49:34 -0600] "GET /Promocion/resources/cms_files/tickets/a783a6c1-91c6-4353-ab77-abfdc329a5c0-thumbnail.jpg HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:12:49:34 -0600] "GET /Promocion/resources/cms_files/tickets/f543ea2a-94e3-486e-9faa-495d9925a37e-thumbnail.jpeg HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:12:50:02 -0600] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
40.78.146.128 - - [21/Mar/2017:15:41:17 -0600] "GET /Promocion/logssssin.do HTTP/1.1" 404 12314
200.66.82.11 - - [21/Mar/2017:15:52:56 -0600] "GET /Promocion/login.do HTTP/1.1" 200 13166
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:57 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
200.66.82.11 - - [21/Mar/2017:15:52:59 -0600] "GET /Promocion/img/favicon.ico HTTP/1.1" 404 12314
200.66.82.11 - - [21/Mar/2017:16:11:07 -0600] "GET /Promocion/ HTTP/1.1" 200 182
200.66.82.11 - - [21/Mar/2017:16:11:07 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
200.66.82.11 - - [21/Mar/2017:16:11:08 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6432
200.66.82.11 - - [21/Mar/2017:16:11:08 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
200.66.82.11 - - [21/Mar/2017:16:11:08 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
