189.225.207.3 - - [30/May/2017:11:45:43 -0500] "GET /Promocion/admin/ticket/img/favicon.ico HTTP/1.1" 404 12314
189.225.207.3 - - [30/May/2017:11:45:44 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:45:50 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:45:56 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:02 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:07 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:12 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:19 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:24 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:31 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:36 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:42 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:47 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:50 -0500] "GET /Promocion/resources/cms_files/tickets/a2d9ac69-3b15-454f-8b84-47232267f2f4.jpg HTTP/1.1" 200 156976
189.225.207.3 - - [30/May/2017:11:46:52 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:46:58 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:06 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:24 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:29 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:37 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:44 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:47:49 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:48:27 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:48:31 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/admin/usuario/index.do HTTP/1.1" 200 19038
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:48:34 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
