187.230.129.161 - - [13/Feb/2017:17:38:17 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:17 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:17 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:17 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/registro.do HTTP/1.1" 200 5614
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/css/bootstrap.min.css HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:23 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:17:38:24 -0600] "GET /Promocion/login.do?failure HTTP/1.1" 200 3639
187.230.129.161 - - [13/Feb/2017:17:38:29 -0600] "POST /Promocion/login?_csrf=1ad5ba69-371c-4a39-aa46-76fe9dc55e3c HTTP/1.1" 302 -
