189.245.30.130 - - [20/Mar/2017:16:41:51 -0600] "POST /Promocion/participa/ticket/add.do HTTP/1.1" 405 -
8.21.198.208 - - [20/Mar/2017:18:16:40 -0600] "GET /Promocion/participa/ticket/add.do HTTP/1.1" 302 -
8.21.198.208 - - [20/Mar/2017:18:16:40 -0600] "GET /Promocion/login-denied.do HTTP/1.1" 302 -
8.21.198.208 - - [20/Mar/2017:18:16:40 -0600] "GET /Promocion/login.do HTTP/1.1" 200 13533
8.21.198.121 - - [20/Mar/2017:18:19:45 -0600] "GET /Promocion/participa/ticket/index-all.do HTTP/1.1" 302 -
8.21.198.121 - - [20/Mar/2017:18:19:45 -0600] "GET /Promocion/login-denied.do HTTP/1.1" 302 -
8.21.198.121 - - [20/Mar/2017:18:19:46 -0600] "GET /Promocion/login.do HTTP/1.1" 200 13533
189.203.217.22 - - [20/Mar/2017:21:39:22 -0600] "GET /Promocion/ HTTP/1.1" 200 182
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
189.203.217.22 - - [20/Mar/2017:21:39:23 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
